"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"Y_exp",1,6.10323970074119,6.10323970074119,1.13749125423491,0.286440998745184
"Residuals",998,5354.79565109851,5.36552670450753,NA,NA
